Horizontal
i:4, j:113, left:5, right:6
i:4, j:114, left:5, right:5
i:4, j:115, left:4, right:5
i:4, j:116, left:4, right:5
i:4, j:117, left:3, right:4
i:5, j:5, left:8, right:8
i:5, j:8, left:8, right:8
i:5, j:9, left:8, right:8
i:5, j:10, left:8, right:8
i:5, j:11, left:8, right:8
i:5, j:12, left:8, right:8
i:5, j:15, left:8, right:8
i:5, j:16, left:8, right:8
i:5, j:24, left:8, right:8
i:5, j:25, left:8, right:8
i:5, j:26, left:8, right:8
i:5, j:29, left:8, right:8
i:5, j:30, left:8, right:8
i:5, j:33, left:8, right:8
i:5, j:34, left:8, right:8
i:5, j:35, left:8, right:8
i:5, j:38, left:8, right:8
i:5, j:41, left:8, right:8
i:5, j:44, left:8, right:8
i:5, j:69, left:8, right:8
i:5, j:70, left:8, right:8
i:5, j:71, left:8, right:8
i:5, j:73, left:8, right:8
i:5, j:74, left:8, right:8
i:5, j:76, left:8, right:8
i:5, j:77, left:8, right:8
i:5, j:78, left:8, right:8
i:5, j:79, left:8, right:8
i:5, j:80, left:8, right:8
i:5, j:88, left:8, right:8
i:5, j:93, left:8, right:8
i:5, j:97, left:8, right:8
i:5, j:102, left:7, right:7
i:5, j:107, left:7, right:7
i:5, j:118, left:4, right:5
i:5, j:119, left:4, right:5
i:6, j:4, left:8, right:8
i:6, j:6, left:8, right:8
i:6, j:7, left:8, right:8
i:6, j:13, left:8, right:8
i:6, j:14, left:8, right:8
i:6, j:17, left:8, right:8
i:6, j:18, left:8, right:8
i:6, j:19, left:8, right:8
i:6, j:20, left:8, right:8
i:6, j:23, left:8, right:8
i:6, j:27, left:8, right:8
i:6, j:28, left:8, right:8
i:6, j:45, left:8, right:8
i:6, j:52, left:8, right:8
i:6, j:53, left:8, right:8
i:6, j:54, left:8, right:8
i:6, j:59, left:8, right:8
i:6, j:68, left:8, right:8
i:6, j:72, left:8, right:8
i:6, j:75, left:8, right:8
i:6, j:81, left:8, right:8
i:6, j:84, left:8, right:8
i:6, j:85, left:8, right:8
i:6, j:89, left:8, right:8
i:6, j:92, left:8, right:8
i:6, j:96, left:8, right:8
i:6, j:103, left:7, right:7
i:6, j:104, left:7, right:7
i:6, j:108, left:7, right:7
i:6, j:109, left:7, right:7
i:6, j:110, left:7, right:7
i:6, j:111, left:7, right:7
i:6, j:112, left:6, right:7
i:6, j:113, left:6, right:7
i:6, j:114, left:6, right:6
i:6, j:115, left:6, right:6
i:7, j:0, left:8, right:8
i:7, j:3, left:8, right:8
i:7, j:5, left:8, right:8
i:7, j:8, left:8, right:8
i:7, j:9, left:8, right:8
i:7, j:10, left:8, right:8
i:7, j:11, left:8, right:8
i:7, j:12, left:8, right:8
i:7, j:15, left:8, right:8
i:7, j:16, left:8, right:8
i:7, j:21, left:8, right:8
i:7, j:22, left:8, right:8
i:7, j:24, left:8, right:8
i:7, j:25, left:8, right:8
i:7, j:26, left:8, right:8
i:7, j:33, left:8, right:8
i:7, j:34, left:8, right:8
i:7, j:46, left:8, right:8
i:7, j:47, left:8, right:8
i:7, j:48, left:8, right:8
i:7, j:51, left:8, right:8
i:7, j:60, left:8, right:8
i:7, j:61, left:8, right:8
i:7, j:62, left:8, right:8
i:7, j:67, left:8, right:8
i:7, j:69, left:8, right:8
i:7, j:70, left:8, right:8
i:7, j:71, left:8, right:8
i:7, j:76, left:8, right:8
i:7, j:77, left:8, right:8
i:7, j:78, left:8, right:8
i:7, j:86, left:8, right:8
i:7, j:90, left:8, right:8
i:7, j:91, left:8, right:8
i:7, j:95, left:8, right:8
i:7, j:97, left:8, right:8
i:7, j:100, left:7, right:7
i:7, j:105, left:7, right:7
i:7, j:106, left:7, right:7
i:7, j:107, left:7, right:7
i:8, j:1, left:8, right:8
i:8, j:2, left:8, right:8
i:8, j:4, left:8, right:8
i:8, j:17, left:8, right:8
i:8, j:18, left:8, right:8
i:8, j:19, left:8, right:8
i:8, j:20, left:8, right:8
i:8, j:23, left:8, right:8
i:8, j:27, left:8, right:8
i:8, j:28, left:8, right:8
i:8, j:35, left:8, right:7
i:8, j:49, left:8, right:8
i:8, j:50, left:8, right:8
i:8, j:56, left:8, right:8
i:8, j:57, left:8, right:8
i:8, j:63, left:8, right:8
i:8, j:66, left:8, right:8
i:8, j:68, left:8, right:8
i:8, j:79, left:8, right:8
i:8, j:80, left:8, right:8
i:8, j:83, left:8, right:8
i:8, j:84, left:8, right:8
i:8, j:85, left:8, right:8
i:8, j:87, left:8, right:8
i:8, j:92, left:8, right:8
i:8, j:96, left:8, right:8
i:8, j:108, left:7, right:7
i:8, j:109, left:7, right:7
i:8, j:110, left:7, right:7
i:8, j:111, left:7, right:7
i:8, j:112, left:7, right:7
i:8, j:113, left:7, right:7
i:8, j:114, left:7, right:7
i:8, j:119, left:6, right:7
i:9, j:0, left:8, right:8
i:9, j:3, left:8, right:8
i:9, j:5, left:8, right:8
i:9, j:6, left:8, right:8
i:9, j:9, left:8, right:8
i:9, j:10, left:8, right:8
i:9, j:11, left:8, right:8
i:9, j:12, left:8, right:8
i:9, j:13, left:8, right:8
i:9, j:16, left:8, right:8
i:9, j:26, left:8, right:8
i:9, j:31, left:7, right:2
i:9, j:32, left:6, right:2
i:9, j:33, left:6, right:1
i:9, j:34, left:6, right:1
i:9, j:36, left:7, right:2
i:9, j:55, left:8, right:8
i:9, j:58, left:8, right:8
i:9, j:64, left:8, right:8
i:9, j:65, left:8, right:8
i:9, j:67, left:8, right:8
i:9, j:69, left:8, right:8
i:9, j:70, left:8, right:8
i:9, j:71, left:8, right:8
i:9, j:72, left:8, right:8
i:9, j:73, left:8, right:8
i:9, j:74, left:8, right:8
i:9, j:81, left:8, right:8
i:9, j:82, left:8, right:8
i:9, j:86, left:8, right:8
i:9, j:88, left:8, right:8
i:9, j:91, left:8, right:8
i:9, j:95, left:8, right:8
i:9, j:107, left:7, right:8
i:9, j:115, left:7, right:7
i:9, j:118, left:7, right:7
