Horizontal
i:4, j:119, left:8, right:8
i:5, j:14, left:6, right:6
i:5, j:15, left:6, right:7
i:5, j:19, left:6, right:6
i:5, j:20, left:6, right:6
i:5, j:22, left:6, right:6
i:5, j:23, left:6, right:6
i:5, j:29, left:6, right:6
i:5, j:30, left:6, right:6
i:5, j:31, left:6, right:6
i:5, j:32, left:6, right:6
i:5, j:33, left:6, right:6
i:5, j:34, left:6, right:6
i:5, j:38, left:6, right:6
i:5, j:41, left:7, right:6
i:5, j:42, left:7, right:7
i:5, j:45, left:7, right:7
i:5, j:49, left:7, right:7
i:5, j:50, left:7, right:7
i:5, j:53, left:7, right:7
i:5, j:55, left:6, right:6
i:5, j:56, left:6, right:6
i:5, j:63, left:6, right:5
i:5, j:66, left:4, right:4
i:5, j:67, left:4, right:4
i:5, j:68, left:4, right:4
i:5, j:76, left:5, right:4
i:5, j:81, left:3, right:4
i:5, j:82, left:3, right:3
i:5, j:95, left:5, right:5
i:5, j:97, left:5, right:5
i:5, j:98, left:5, right:5
i:5, j:104, left:5, right:6
i:5, j:107, left:6, right:6
i:5, j:108, left:6, right:6
i:5, j:109, left:6, right:6
i:5, j:114, left:7, right:7
i:5, j:115, left:7, right:7
i:5, j:116, left:8, right:7
i:5, j:117, left:8, right:8
i:5, j:118, left:8, right:8
i:6, j:0, left:5, right:5
i:6, j:1, left:5, right:5
i:6, j:2, left:5, right:5
i:6, j:3, left:5, right:6
i:6, j:4, left:5, right:6
i:6, j:9, left:6, right:6
i:6, j:12, left:6, right:6
i:6, j:13, left:6, right:7
i:6, j:16, left:7, right:7
i:6, j:21, left:6, right:6
i:6, j:28, left:6, right:6
i:6, j:37, left:6, right:6
i:6, j:46, left:7, right:7
i:6, j:47, left:7, right:7
i:6, j:48, left:7, right:6
i:6, j:54, left:6, right:6
i:6, j:64, left:5, right:4
i:6, j:65, left:4, right:4
i:6, j:69, left:4, right:4
i:6, j:72, left:5, right:5
i:6, j:73, left:5, right:5
i:6, j:91, left:4, right:4
i:6, j:92, left:4, right:4
i:6, j:93, left:4, right:4
i:6, j:94, left:5, right:5
i:6, j:96, left:5, right:5
i:6, j:101, left:5, right:6
i:6, j:110, left:6, right:7
i:6, j:113, left:7, right:7
i:6, j:119, left:8, right:8
i:7, j:5, left:6, right:6
i:7, j:6, left:6, right:6
i:7, j:7, left:6, right:6
i:7, j:8, left:6, right:6
i:7, j:10, left:6, right:7
i:7, j:11, left:6, right:7
i:7, j:14, left:7, right:7
i:7, j:15, left:7, right:7
i:7, j:22, left:6, right:6
i:7, j:27, left:6, right:6
i:7, j:31, left:6, right:6
i:7, j:36, left:6, right:6
i:7, j:49, left:6, right:6
i:7, j:50, left:6, right:6
i:7, j:51, left:7, right:7
i:7, j:57, left:5, right:5
i:7, j:68, left:4, right:4
i:7, j:70, left:4, right:4
i:7, j:71, left:4, right:4
i:7, j:76, left:4, right:4
i:7, j:77, left:4, right:4
i:7, j:90, left:4, right:4
i:7, j:95, left:5, right:5
i:7, j:102, left:6, right:6
i:7, j:105, left:6, right:6
i:7, j:106, left:6, right:6
i:7, j:107, left:6, right:6
i:7, j:108, left:6, right:7
i:7, j:109, left:7, right:7
i:7, j:114, left:7, right:7
i:7, j:115, left:7, right:8
i:7, j:116, left:7, right:8
i:7, j:117, left:7, right:8
i:7, j:118, left:8, right:8
i:8, j:0, left:6, right:7
i:8, j:1, left:6, right:7
i:8, j:2, left:6, right:7
i:8, j:3, left:6, right:6
i:8, j:4, left:6, right:7
i:8, j:9, left:6, right:6
i:8, j:20, left:6, right:6
i:8, j:21, left:6, right:6
i:8, j:23, left:6, right:6
i:8, j:24, left:6, right:6
i:8, j:25, left:6, right:6
i:8, j:26, left:6, right:6
i:8, j:28, left:6, right:6
i:8, j:32, left:6, right:6
i:8, j:35, left:6, right:6
i:8, j:41, left:6, right:6
i:8, j:42, left:6, right:6
i:8, j:43, left:6, right:6
i:8, j:44, left:6, right:6
i:8, j:45, left:6, right:6
i:8, j:46, left:6, right:6
i:8, j:47, left:6, right:6
i:8, j:48, left:6, right:6
i:8, j:52, left:6, right:6
i:8, j:55, left:6, right:5
i:8, j:56, left:5, right:5
i:8, j:58, left:5, right:5
i:8, j:59, left:5, right:5
i:8, j:60, left:5, right:5
i:8, j:63, left:4, right:4
i:8, j:69, left:4, right:4
i:8, j:72, left:4, right:4
i:8, j:75, left:4, right:4
i:8, j:78, left:4, right:4
i:8, j:79, left:4, right:4
i:8, j:80, left:4, right:4
i:8, j:89, left:4, right:4
i:8, j:91, left:4, right:4
i:8, j:94, left:5, right:5
i:8, j:110, left:7, right:7
i:8, j:111, left:7, right:7
i:8, j:112, left:7, right:7
i:8, j:113, left:7, right:7
i:8, j:119, left:8, right:8
i:9, j:5, left:7, right:8
i:9, j:8, left:7, right:7
i:9, j:10, left:7, right:7
i:9, j:13, left:7, right:7
i:9, j:14, left:7, right:7
i:9, j:19, left:6, right:6
i:9, j:22, left:6, right:6
i:9, j:27, left:6, right:6
i:9, j:31, left:6, right:6
i:9, j:40, left:6, right:6
i:9, j:51, left:6, right:6
i:9, j:57, left:5, right:5
i:9, j:64, left:4, right:4
i:9, j:65, left:4, right:4
i:9, j:66, left:4, right:4
i:9, j:73, left:4, right:4
i:9, j:74, left:4, right:4
i:9, j:76, left:4, right:4
i:9, j:77, left:4, right:4
i:9, j:81, left:4, right:4
i:9, j:88, left:4, right:4
i:9, j:90, left:4, right:5
i:9, j:92, left:5, right:5
i:9, j:93, left:5, right:5
i:9, j:101, left:6, right:6
i:9, j:102, left:6, right:6
i:9, j:109, left:7, right:7
i:9, j:114, left:7, right:8
i:9, j:115, left:8, right:8
i:9, j:116, left:8, right:8
i:9, j:117, left:8, right:8
i:9, j:118, left:8, right:8
i:10, j:2, left:8, right:8
i:10, j:3, left:8, right:8
i:10, j:4, left:8, right:8
i:10, j:6, left:7, right:7
i:10, j:7, left:7, right:7
i:10, j:9, left:7, right:7
i:10, j:11, left:7, right:7
i:10, j:12, left:7, right:7
i:10, j:15, left:7, right:7
i:10, j:16, left:7, right:7
i:10, j:20, left:6, right:6
i:10, j:21, left:6, right:6
i:10, j:25, left:6, right:6
i:10, j:26, left:6, right:6
i:10, j:28, left:6, right:6
i:10, j:36, left:7, right:7
i:10, j:39, left:6, right:6
i:10, j:41, left:6, right:6
i:10, j:42, left:6, right:6
i:10, j:43, left:6, right:6
i:10, j:44, left:6, right:6
i:10, j:45, left:6, right:6
i:10, j:46, left:6, right:6
i:10, j:52, left:6, right:6
i:10, j:58, left:5, right:4
i:10, j:59, left:5, right:4
i:10, j:67, left:4, right:4
i:10, j:68, left:4, right:4
i:10, j:75, left:4, right:4
i:10, j:78, left:4, right:4
i:10, j:82, left:4, right:4
i:10, j:83, left:4, right:4
i:10, j:84, left:4, right:4
i:10, j:87, left:4, right:4
i:10, j:89, left:4, right:5
i:10, j:91, left:5, right:5
i:10, j:100, left:6, right:6
i:10, j:107, left:7, right:7
i:10, j:108, left:7, right:7
i:10, j:110, left:7, right:7
i:10, j:111, left:7, right:7
i:10, j:112, left:7, right:7
i:10, j:113, left:7, right:8
i:10, j:119, left:9, right:9
i:11, j:5, left:8, right:8
i:11, j:8, left:7, right:8
i:11, j:10, left:7, right:7
i:11, j:17, left:7, right:7
i:11, j:22, left:6, right:6
i:11, j:23, left:6, right:6
i:11, j:24, left:6, right:6
i:11, j:27, left:6, right:6
i:11, j:35, left:7, right:7
i:11, j:37, left:7, right:7
i:11, j:38, left:7, right:7
i:11, j:40, left:6, right:6
i:11, j:49, left:7, right:7
i:11, j:57, left:5, right:4
i:11, j:60, left:5, right:4
i:11, j:71, left:4, right:4
i:11, j:72, left:4, right:4
i:11, j:81, left:4, right:4
i:11, j:85, left:4, right:4
i:11, j:86, left:4, right:4
i:11, j:88, left:5, right:5
i:11, j:90, left:5, right:5
i:11, j:92, left:6, right:6
i:11, j:95, left:6, right:6
i:11, j:96, left:6, right:6
i:11, j:97, left:6, right:7
i:11, j:101, left:7, right:7
i:11, j:102, left:7, right:7
i:11, j:103, left:7, right:7
i:11, j:104, left:7, right:7
i:11, j:105, left:7, right:7
i:11, j:106, left:7, right:7
i:11, j:109, left:7, right:8
i:11, j:114, left:8, right:8
i:11, j:115, left:8, right:8
i:11, j:116, left:8, right:8
i:11, j:117, left:8, right:9
i:11, j:118, left:9, right:9
i:12, j:0, left:8, right:8
i:12, j:1, left:8, right:8
i:12, j:2, left:8, right:8
i:12, j:3, left:8, right:9
i:12, j:4, left:8, right:9
i:12, j:6, left:8, right:8
i:12, j:7, left:8, right:8
i:12, j:9, left:7, right:8
i:12, j:13, left:7, right:7
i:12, j:14, left:7, right:7
i:12, j:15, left:7, right:7
i:12, j:16, left:7, right:7
i:12, j:18, left:6, right:6
i:12, j:21, left:7, right:7
i:12, j:32, left:6, right:7
i:12, j:36, left:7, right:7
i:12, j:39, left:7, right:7
i:12, j:41, left:6, right:6
i:12, j:42, left:6, right:6
i:12, j:45, left:6, right:6
i:12, j:48, left:7, right:7
i:12, j:54, left:5, right:5
i:12, j:55, left:5, right:5
i:12, j:56, left:4, right:4
i:12, j:61, left:5, right:5
i:12, j:62, left:5, right:5
i:12, j:63, left:5, right:5
